Temperature,Weight,Elevation,Runway,Cutoff Weight,Cutoff Runway,Max OEW + Payload,Range (nm)
15,1260,0,9800,1260,16800,998,6600
15,1220,0,9000,1160,16700,893,8700
15,1160,0,8000,,,813,9500
15,1100,0,7000,,,,
15,1020,0,6000,,,,
30,1260,0,10100,,,,
30,1200,0,9000,,,,
30,1140,0,8000,,,,
30,1080,0,7000,,,,
30,1000,0,6000,,,,
38,1260,0,12000,,,,
38,1240,0,11000,,,,
38,1190,0,10000,,,,
38,1150,0,9000,,,,
38,1090,0,8000,,,,
38,1030,0,7000,,,,
38,930,0,6000,,,,
46,1260,0,15300,,,,
46,1250,0,14000,,,,
46,1220,0,13000,,,,
46,1190,0,12000,,,,
46,1170,0,11000,,,,
46,1140,0,10000,,,,
46,1090,0,9000,,,,
46,1030,0,8000,,,,
46,960,0,7000,,,,
46,880,0,6000,,,,
54,1210,0,16700,,,,
54,1200,0,15000,,,,
54,1180,0,14000,,,,
54,1160,0,13000,,,,
54,1140,0,12000,,,,
54,1120,0,11000,,,,
54,1090,0,10000,,,,
54,1040,0,9000,,,,
54,980,0,8000,,,,
54,920,0,7000,,,,
54,840,0,6000,,,,
