46,13
46,14
46,15
46,16
46,17
46,18
46,19
46,20
46,21
47,13
47,14
47,15
47,16
47,17
47,18
47,19
47,20
47,21
47,22
48,13
48,14
48,15
48,16
48,17
48,18
48,19
48,20
48,21
48,22
48,23
49,13
49,14
49,15
49,16
49,17
49,18
49,19
49,20
49,21
49,22
49,23
50,13
50,14
50,15
50,16
50,17
50,18
50,19
50,20
50,21
50,22
50,23
51,13
51,14
51,15
51,16
51,17
51,18
51,19
51,20
51,21
52,13
52,14
52,15
52,16
52,17
52,18
52,19
52,20
52,21
53,13
53,14
53,15
53,16
53,17
53,18
53,19
53,20
54,13
54,14
54,15
54,16
54,17
54,18
54,19
54,20
55,13
55,14
55,15
55,16
55,17
55,18
55,19
56,13
56,14
56,15
56,16
56,17
56,18
56,19
57,13
57,14
57,15
57,16
57,17
57,18
58,13
58,14
58,15
58,16
58,17
58,18
59,13
59,14
59,15
59,16
59,17
60,13
60,14
60,15
60,16
60,17
61,13
61,14
61,15
61,16
61,17
61,18
61,19
61,20
61,21
61,22
61,23
